SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111678";"So";"23.08.2020";"10:00";"FC Länggasse";"2.";"10311";"SV Meiringen";"2.";"10502";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112540";"So";"23.08.2020";"12:30";"FC Länggasse b";"Jun.C 2/S";"10311";"SC Worb c";"Jun.C 2/S";"10328";"Viererfeld, Bern - Fussballfeld Viererfeld";"Viererfeld";"Bern";"Fussballfeld Viererfeld";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116674";"So";"23.08.2020";"12:30";"FC Länggasse";"4.";"10311";"FC Wyler a";"4.";"10308";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113494";"So";"23.08.2020";"12:30";"FC Länggasse";"3.LF";"10311";"Oberemmental 05";"3.LF";"10401";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112393";"So";"23.08.2020";"15:00";"FC Länggasse";"Jun.B 2/S";"10311";"FC Wabern";"Jun.B 2/S";"10382";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111638";"So";"23.08.2020";"15:00";"FC Länggasse a";"Jun.C 1/S";"10311";"Team Grauholz b";"Jun.C 1/S";"10335";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119197";"Mi";"26.08.2020";"18:45";"FC Länggasse";"Sen.30+";"10311";"SC Worb";"Sen.30+";"10328";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Trainingsspiele";"";"";"711670";"Mi";"26.08.2020";"19:30";"FC Wünnewil-Flamatt";"Jun.C";"5142";"FC Länggasse b";"Jun.C 2/S";"10311";"Stadium "Au" - Flamatt, Austrasse7, Flamatt - Hauptplatz";"Stadium "Au" - Flamatt";"Austrasse7, Flamatt";"Hauptplatz";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126362";"Sa";"29.08.2020";"10:30";"SC Jegenstorf a";"Jun.D/9";"10343";"FC Länggasse a";"Jun.D/9";"10311";"Gyrisberg, Jegenstorf - Nebenplatz GyrisbergSpielwiese";"Gyrisberg";"Jegenstorf";"Nebenplatz GyrisbergSpielwiese";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 3 - Herbstrunde / Gruppe  2";"126570";"Sa";"29.08.2020";"11:15";"FC Bolligen b";"Jun.D/9";"10346";"FC Länggasse b";"Jun.D/9";"10311";"Sportplatz Wegmühle, Bolligen - Hauptplatz";"Sportplatz Wegmühle";"Bolligen";"Hauptplatz";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111643";"Sa";"29.08.2020";"13:00";"SC Jegenstorf";"Jun.C 1/S";"10343";"FC Länggasse a";"Jun.C 1/S";"10311";"Gyrisberg, Jegenstorf - Hauptplatz Gyrisberg";"Gyrisberg";"Jegenstorf";"Hauptplatz Gyrisberg";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111684";"Sa";"29.08.2020";"17:00";"FC Steffisburg";"2.";"10513";"FC Länggasse";"2.";"10311";"Eichfeld, Steffisburg - Hauptplatz";"Eichfeld";"Steffisburg";"Hauptplatz";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116678";"So";"30.08.2020";"10:00";"FC Weissenstein Bern";"4.";"10323";"FC Länggasse";"4.";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117508";"So";"30.08.2020";"10:15";"FC Aarberg";"3.";"10201";"FC Länggasse";"3.";"10311";"Aarolina, Aarberg - Hauptplatz";"Aarolina";"Aarberg";"Hauptplatz";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113497";"So";"30.08.2020";"11:00";"FC Spiez";"3.LF";"10505";"FC Länggasse";"3.LF";"10311";"ABC-Zentrum, Spiez - Hauptplatz";"ABC-Zentrum";"Spiez";"Hauptplatz";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112542";"So";"30.08.2020";"12:30";"FC Länggasse b";"Jun.C 2/S";"10311";"FC Wabern b";"Jun.C 2/S";"10382";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112401";"So";"30.08.2020";"15:30";"FC Bolligen";"Jun.B 2/S";"10346";"FC Länggasse";"Jun.B 2/S";"10311";"Sportplatz Wegmühle, Bolligen - Hauptplatz";"Sportplatz Wegmühle";"Bolligen";"Hauptplatz";
